0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
25.0,3.0,1.75,1780.0,13095.0,1.0,0.0,0.0,4.0,9.0,1780.0,0.0,1983.0,0.0,98042.0,47.367,-122.152,2750.0,13095.0
303.0,2.0,1.0,1000.0,3700.0,1.0,0.0,0.0,3.0,6.0,800.0,200.0,1929.0,0.0,98118.0,47.552,-122.29,1270.0,5000.0
291.0,3.0,1.0,1080.0,7486.0,1.5,0.0,0.0,3.0,6.0,990.0,90.0,1942.0,0.0,98146.0,47.4838,-122.335,1170.0,7800.0
245.0,3.0,2.25,2090.0,7500.0,1.0,0.0,0.0,4.0,7.0,1280.0,810.0,1977.0,0.0,98031.0,47.3951,-122.172,1800.0,7350.0
341.0,2.0,2.5,1741.0,1439.0,2.0,0.0,0.0,3.0,8.0,1446.0,295.0,2007.0,0.0,98034.0,47.7043,-122.209,2090.0,10454.0
101.0,3.0,1.75,2340.0,51836.0,1.5,0.0,0.0,3.0,8.0,1510.0,830.0,1978.0,0.0,98027.0,47.4846,-122.035,2060.0,77536.0
32.0,5.0,2.75,2040.0,7488.0,1.0,0.0,0.0,4.0,7.0,1200.0,840.0,1969.0,0.0,98034.0,47.7289,-122.172,1530.0,7488.0
249.0,5.0,2.25,3320.0,13138.0,1.0,0.0,2.0,4.0,9.0,1900.0,1420.0,1964.0,0.0,98028.0,47.759,-122.269,2820.0,13138.0
39.0,3.0,1.75,1760.0,8400.0,1.0,0.0,0.0,4.0,8.0,1460.0,300.0,1960.0,0.0,98136.0,47.5355,-122.39,1980.0,8400.0
320.0,3.0,2.5,1610.0,5024.0,2.0,0.0,0.0,3.0,7.0,1610.0,0.0,2004.0,0.0,98038.0,47.3833,-122.043,1790.0,3717.0
322.0,3.0,1.75,1190.0,6000.0,1.0,0.0,0.0,3.0,7.0,1190.0,0.0,1952.0,2015.0,98178.0,47.5026,-122.236,1200.0,6000.0
353.0,5.0,3.0,2480.0,7200.0,1.0,0.0,0.0,3.0,7.0,1560.0,920.0,1999.0,0.0,98188.0,47.4586,-122.283,1910.0,9432.0
81.0,3.0,2.0,1390.0,7200.0,1.0,0.0,0.0,3.0,7.0,1390.0,0.0,1996.0,0.0,98058.0,47.434,-122.154,1630.0,7340.0
147.0,3.0,1.0,1040.0,8410.0,1.0,0.0,0.0,3.0,7.0,1040.0,0.0,1942.0,2014.0,98188.0,47.453,-122.289,1350.0,8410.0
304.0,5.0,2.75,2980.0,9838.0,1.0,0.0,0.0,3.0,7.0,1710.0,1270.0,1968.0,0.0,98030.0,47.3807,-122.222,2240.0,9838.0
41.0,3.0,3.25,1470.0,1235.0,2.0,0.0,0.0,3.0,7.0,1180.0,290.0,2008.0,0.0,98108.0,47.5537,-122.313,1470.0,1243.0
243.0,2.0,1.0,700.0,4800.0,1.0,0.0,0.0,3.0,7.0,700.0,0.0,1922.0,0.0,98122.0,47.6147,-122.3,1440.0,4800.0
117.0,5.0,3.0,4350.0,37169.0,2.0,0.0,0.0,3.0,10.0,2950.0,1400.0,1972.0,0.0,98005.0,47.6518,-122.16,3280.0,41631.0
88.0,4.0,2.0,1760.0,5500.0,1.0,0.0,1.0,3.0,7.0,780.0,980.0,1925.0,2004.0,98118.0,47.5183,-122.265,1510.0,5500.0
158.0,3.0,1.75,1560.0,5760.0,1.0,0.0,0.0,5.0,6.0,780.0,780.0,1927.0,0.0,98106.0,47.5272,-122.359,1320.0,7680.0
6.0,4.0,1.75,2480.0,9195.0,1.0,0.0,0.0,3.0,7.0,1390.0,1090.0,1950.0,0.0,98004.0,47.584,-122.195,2440.0,9195.0
276.0,5.0,2.25,2760.0,6350.0,1.0,0.0,0.0,3.0,7.0,1380.0,1380.0,1958.0,0.0,98126.0,47.5561,-122.379,2060.0,6342.0
73.0,4.0,2.5,2448.0,4949.0,2.0,0.0,0.0,3.0,9.0,2448.0,0.0,2014.0,0.0,98030.0,47.3428,-122.179,2815.0,5446.0
289.0,3.0,1.75,1540.0,6632.0,1.0,0.0,0.0,3.0,7.0,1070.0,470.0,1959.0,0.0,98178.0,47.4973,-122.252,2510.0,6618.0
6.0,5.0,2.5,3160.0,11470.0,1.0,0.0,0.0,4.0,9.0,1780.0,1380.0,1971.0,0.0,98040.0,47.5368,-122.216,3260.0,11470.0
242.0,4.0,2.75,1930.0,13041.0,1.0,0.0,0.0,4.0,8.0,1180.0,750.0,1980.0,0.0,98072.0,47.7502,-122.085,1880.0,10234.0
82.0,4.0,2.75,3020.0,7203.0,2.0,0.0,0.0,3.0,9.0,3020.0,0.0,2014.0,0.0,98033.0,47.6948,-122.178,3010.0,7215.0
